0,A.C. Green,1986,22,PF,LAL,82,1,18.8,2.5,4.7,0.539,0.0,0.1,0.167,2.5,4.7,0.545,0.54,1.2,2.0,0.611,2.0,2.7,4.6,0.7,0.6,0.6,1.2,2.8,6.4,0.498182710223721,-0.9371609776759124,-0.443274462914775,0.30737175907040526,-0.7205972145478853,-0.30732158113121333,0.23628393434205677,0.38469327813301457,-0.47547039418456677,-0.8527094504637343,0.122050438123596,-0.23876350390844672,-0.07518796992481212,0.08915559365623657,-0.14609571788413087,-0.05630111134409755,0.03286893006898424,0.12189859762675244,-0.14531111766440566,-0.2956858612503237
1,A.C. Green,1987,23,PF,LAL,79,72,28.4,4.0,7.4,0.538,0.0,0.1,0.0,4.0,7.4,0.543,0.538,2.8,3.6,0.78,2.7,5.1,7.8,1.1,0.9,1.0,1.3,2.2,10.8,1.0631539974768085,0.43109745875463873,-0.4948940646405302,1.4714701444493419,-0.5273058962203389,0.2982212937326978,0.9379001527879378,0.20394629705329312,0.23670052341533857,2.948522629682219,0.20229884757986671,0.08108703012520116,-0.10652353426919914,0.3743133377279718,-0.11043091348881641,0.06458662134272185,0.14953730243223343,0.05375150337681543,0.055923449487805955,0.7645436443146008
2,A.C. Green,1988,24,PF,LAL,82,64,32.1,3.9,7.8,0.503,0.0,0.0,0.0,3.9,7.8,0.505,0.503,3.6,4.6,0.773,3.0,5.7,8.7,1.1,1.1,0.5,1.5,2.5,11.4,0.5336562496637534,0.46656183662937,-0.4863860783464979,1.8816324974572503,-0.5035591508211753,0.6755065028156086,0.08391179318672519,-0.06958220880773532,0.3586677225473738,2.5112181864652845,0.1182760412336383,0.11540827445867648,-0.07753335737468459,0.5396323766526926,-0.09199212679995841,0.1466340269277846,0.0142883651883469,-0.022148916116870653,0.08871830658292645,0.8312829907525517
3,A.C. Green,1989,25,PF,LAL,82,82,30.6,4.9,9.2,0.529,0.0,0.2,0.235,4.8,9.0,0.536,0.532,3.4,4.4,0.786,3.1,5.9,9.0,1.3,1.1,0.7,1.5,2.1,13.3,1.332675917742755,0.681242050036261,-0.5017798038991481,1.9659515758062784,-0.3830476005725472,0.5556723577544773,0.43749062502254515,-0.05587387983843797,0.636365723080713,3.706331405285893,0.3102353902071402,0.15279899364513747,-0.08206771631600956,0.5400984365952519,-0.07478092974899744,0.1350058343057176,0.06654914059056866,-0.019130063054397482,0.18019184014127965,1.2089009263656911
4,A.C. Green,1990,26,PF,LAL,82,82,33.0,4.7,9.8,0.478,0.2,0.6,0.283,4.5,9.3,0.489,0.486,3.4,4.5,0.751,3.2,5.5,8.7,1.1,0.8,0.6,1.4,2.5,12.9,0.2954742791392569,0.18998917847817934,0.0702768536283048,1.8730779084310354,-0.45919929199174436,0.13501297684107508,0.30627224344475923,-0.06162340263676951,0.5955273835642072,2.91920451380055,0.06391301694557706,0.04212723085484545,0.012414733969986266,0.48779931006493504,-0.08021073567060921,0.03532092669958256,0.04271356783919612,-0.015426781519185372,0.16075723072339188,0.7494084999077197
5,A.C. Green,1991,27,PF,LAL,82,21,26.4,3.1,6.6,0.476,0.1,0.7,0.2,3.0,5.9,0.507,0.486,2.7,3.7,0.738,2.5,3.8,6.3,0.9,0.7,0.3,1.2,1.4,9.1,0.07668762645389693,-0.1258078247288856,-0.2767645785106419,0.9700660704558619,-0.5573074377881405,-0.049465642397090795,-0.26284959733240826,0.18555601004113534,0.016939481306049102,0.21222495176959563,0.017582142945699916,-0.02715510321536188,-0.04148912312177617,0.2577675489067893,-0.10244602467443449,-0.012282497441146527,-0.04297050456655174,0.06017023774581782,0.0048787207420248006,0.11405539732106104
6,A.C. Green,1992,28,PF,LAL,82,53,35.4,4.7,9.8,0.476,0.1,0.7,0.214,4.5,9.1,0.495,0.483,4.1,5.6,0.744,3.7,5.6,9.3,1.4,1.1,0.4,1.4,1.7,13.6,0.327787631218396,0.3298059601062999,-0.30960814829298633,1.9769231675137702,-0.33093906763452513,0.6738045059070695,-0.11272196758330336,-0.11387183999916368,0.7557512984483327,2.9986793991363965,0.07442778954391116,0.07920300217396899,-0.06676363636363641,0.3728350675839184,-0.05703980764092975,0.16182857142857146,-0.017029753871859125,-0.036605657237936524,0.22307476487307418,0.7339303404890823
7,A.C. Green,1993,29,PF,LAL,82,55,34.4,4.6,8.6,0.537,0.2,0.6,0.348,4.4,8.0,0.55,0.548,3.4,4.6,0.739,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,12.8,1.6099819126142867,0.11584072327807753,-0.11377154268958714,1.8417060767025308,-0.34050481639725455,0.7011767477486126,0.09931641106867872,-0.05970987868450555,0.6304654470017871,3.540023572955385,0.37826375486544406,0.027380730888510972,-0.027367188643348413,0.3431233222801199,-0.06846553462045438,0.17752139933010813,0.01508429458740023,-0.01781550228523435,0.16330776231959443,0.9910330387221407
8,A.C. Green,1994,30,PF,PHO,82,55,34.5,5.7,11.3,0.502,0.1,0.4,0.229,5.6,10.9,0.513,0.506,3.2,4.4,0.735,3.4,5.8,9.2,1.7,0.9,0.5,1.2,1.7,14.7,1.2564018570408608,0.4294320955629407,-0.3905106323948855,2.021665340798617,-0.15114114447094526,0.3173018232396053,0.10383743938213828,0.12453963778532584,1.0927053773402975,3.9445132262955402,0.18488743152809317,0.08352248815862634,-0.07766538774561087,0.40708382526564335,-0.027892827892827834,0.07528409090909094,0.015873015873015955,0.037461162893919264,0.2976257805376332,0.9961795795275834
9,A.C. Green,1995,31,SF,PHO,82,52,32.8,3.8,7.5,0.504,0.5,1.5,0.339,3.3,6.0,0.547,0.539,3.1,4.2,0.732,2.4,5.8,8.2,1.5,0.7,0.4,1.4,1.8,11.2,0.7900386906999471,0.13317450235466433,0.0814921727605358,1.7588673945842834,-0.24420938493666466,-0.009370778951767241,-0.053209457104877,-0.07605799603123879,0.4471305736183402,2.4830056689017557,0.1268683565735268,0.019344291629236326,0.022489082969432486,0.35231856704044995,-0.04577464788732395,-0.002126468942361515,-0.008352799603595855,-0.02472922457586494,0.1306908026716382,0.5707279598751375
