"1981,25,Dave Britton,PG,22,WSB,2,0,4.5,1.0,1.5,.667,0.0,0.0,0,1.0,1.5,.667,.667,0.0,0.0,0,0.0,1.0,1.0,1.5,0.5,0.0,1.0,1.0,2.0"
"1981,26,Michael Brooks,SF,22,SDC,82,0,30.2,6.0,12.4,.479,0.0,0.1,.000,6.0,12.3,.482,.479,2.8,3.9,.706,2.6,2.8,5.4,2.5,1.2,0.4,2.0,2.9,14.7"
"1981,27,Fred Brown,SG,32,SEA,78,0,25.5,6.5,13.3,.488,0.3,0.8,.359,6.2,12.4,.496,.499,2.2,2.7,.832,0.7,1.6,2.2,3.0,1.1,0.2,1.7,1.8,15.5"
"1981,28,Lewis Brown,C,25,WSB,2,0,2.5,0.0,1.5,.000,0.0,0.0,0,0.0,1.5,.000,.000,1.0,2.5,.400,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,1.0"
"1981,29,Rickey Brown,C,22,GSW,45,0,12.9,1.8,3.6,.512,0.0,0.0,0,1.8,3.6,.512,.512,0.4,0.5,.762,1.2,2.5,3.7,0.5,0.2,0.3,0.7,2.3,4.0"
"1981,30,Joe Bryant,PF,26,SDC,82,0,28.8,4.6,9.6,.479,0.0,0.2,.133,4.6,9.5,.486,.480,2.4,3.0,.791,1.8,3.6,5.4,2.3,0.9,0.4,2.1,3.2,11.6"
"1981,31,Quinn Buckner,PG,26,MIL,82,0,29.1,5.7,11.7,.493,0.0,0.1,.167,5.7,11.6,.495,.493,1.8,2.5,.734,1.1,2.6,3.6,4.7,2.4,0.0,2.9,3.3,13.3"
"1981,32,Tom Burleson,C,28,ATL,31,0,11.7,1.3,3.2,.414,0.0,0.0,0,1.3,3.2,.414,.414,0.6,1.3,.488,1.4,1.6,3.0,0.4,0.3,0.6,0.8,2.4,3.3"
"1981,33,Don Buse,SG,30,IND,58,0,18.9,2.0,4.9,.397,0.3,1.0,.328,1.6,3.9,.415,.430,0.9,1.1,.769,0.3,1.1,1.4,2.4,1.3,0.1,0.7,1.1,5.1"
"1981,34,Marty Byrnes,SF,24,DAL,72,0,18.9,3.0,6.3,.479,0.1,0.3,.450,2.9,6.0,.480,.489,1.7,2.2,.764,1.0,1.4,2.5,1.6,0.4,0.2,0.8,1.8,7.8"
"1981,35,Mack Calvin,PG,33,CLE,21,0,6.1,0.6,1.9,.333,0.0,0.2,.200,0.6,1.6,.353,.346,1.2,1.7,.714,0.1,0.5,0.6,1.3,0.2,0.0,0.8,0.6,2.5"
"1981,36,Austin Carr,SG,32,TOT,47,0,14.0,1.9,5.0,.372,0.0,0.1,.000,1.9,4.8,.383,.372,0.7,1.1,.630,0.5,0.8,1.3,1.2,0.3,0.0,0.9,1.1,4.4"
"1981,37,Kenny Carr,PF,25,CLE,81,0,32.3,5.8,11.3,.511,0.0,0.0,.000,5.8,11.3,.513,.511,3.6,5.0,.714,3.2,7.1,10.3,2.4,0.9,0.5,2.9,3.7,15.2"
"1981,38,M.L. Carr,SF,30,BOS,41,7,16.0,2.4,5.3,.449,0.0,0.3,.071,2.3,4.9,.475,.451,1.3,1.6,.791,0.6,1.4,2.0,1.4,0.7,0.4,1.1,1.8,6.0"
"1981,39,Joe Barry Carroll,C,22,GSW,82,0,35.6,7.5,15.3,.491,0.0,0.0,.000,7.5,15.3,.492,.491,3.8,5.4,.716,3.3,5.9,9.3,1.4,0.6,1.5,3.0,3.8,18.9"
"1981,40,Butch Carter,SF,22,LAL,54,0,12.4,2.1,4.6,.462,0.1,0.2,.300,2.1,4.4,.468,.468,1.3,1.8,.737,0.6,0.6,1.2,1.0,0.4,0.0,0.9,1.8,5.6"
"1981,41,Reggie Carter,SG,23,NYK,60,0,8.9,1.0,3.0,.330,0.0,0.1,.000,1.0,2.9,.335,.330,0.9,1.2,.739,0.5,0.7,1.2,1.3,0.4,0.0,0.6,1.1,2.8"
"1981,42,Bill Cartwright,C,23,NYK,82,0,35.7,7.5,13.6,.554,0.0,0.0,.000,7.5,13.6,.554,.554,5.0,6.3,.788,2.0,5.5,7.5,1.4,0.6,1.0,2.4,3.2,20.1"
"1981,43,Harvey Catchings,PF,29,MIL,77,0,21.2,1.7,3.9,.447,0.0,0.0,0,1.7,3.9,.447,.447,0.8,1.2,.641,2.0,4.1,6.1,1.3,0.4,2.4,1.4,3.7,4.2"
"1981,44,Maurice Cheeks,PG,24,PHI,81,0,29.8,3.8,7.2,.534,0.0,0.1,.375,3.8,7.1,.536,.536,1.7,2.2,.787,0.8,2.2,3.0,6.9,2.4,0.5,2.1,2.9,9.4"
"1981,45,Phil Chenier,SG,30,GSW,9,0,9.1,1.2,3.7,.333,0.1,0.3,.333,1.1,3.3,.333,.348,0.7,0.7,1.000,0.1,0.8,0.9,0.8,0.0,0.0,0.4,1.1,3.2"
